 Code | Word | Frequency 
1:   34034
2: \n 4833
3: , 2678
4: the 1755
5: . 1591
6: and 979
7: of 932
8: a 918
9: ' 780
10: to 732
11: - 626
12: in 593
13: I 524
14: ; 469
15: that 406
16: his 401
17: it 290
18: was 289
19: he 279
20: with 246
21: s 239
22: is 233
23: as 216
24: for 211
25: at 198
26: all 194
27: this 190
28: him 179
29: me 172
30: not 168
31: from 162
32: on 157
33: but 153
34: by 145
35: you 143
36: ? 142
37: be 140
38: ! 136
39: my 126
40: there 123
41: one 117
42: had 116
43: But 109
44: out 108
45: or 106
46: so 105
47: like 98
48: were 98
49: " 93
50: up 92
51: have 92
52: now 90
53: what 89
54: sea 86
55: they 86
56: no 86
57: The 85
58: upon 83
59: an 82
60: into 81
61: then 81
62: Queequeg 81
63: about 78
64: whale 77
65: which 77
66: over 75
67: more 75
68: we 73
69: when 72
70: THE 70
71: man 69
72: old 68
73: their 68
74: little 68
75: who 67
76: some 66
77: ship 64
78: are 63
79: Jonah 62
80: these 59
81: them 58
82: And 57
83: He 56
84: though 55
85: would 54
86: could 54
87: if 54
88: bed 53
89: other 52
90: than 52
91: been 51
92: * 51
93: do 51
94: said 51
95: down 50
96: head 50
97: very 49
98: DICK 49
99: It 49
100: MOBY 49
101: see 48
102: only 48
103: great 47
104: God 47
105: will 47
106: seemed 47
107: ye 46
108: here 45
109: last 44
110: t 44
111: never 44
112: being 44
113: first 43
114: such 42
115: time 42
116: before 42
117: thought 42
118: A 41
119: world 41
120: did 40
121: most 40
122: yet 40
123: her 40
124: our 39
125: much 39
126: us 39
127: room 38
128: himself 38
129: how 38
130: still 37
131: long 37
132: harpooneer 37
133: way 37
134: own 36
135: night 36
136: say 35
137: must 35
138: your 35
139: off 34
140: those 34
141: round 33
142: In 33
143: Whale 33
144: two 33
145: any 33
146: go 32
147: same 32
148: take 31
149: water 31
150: made 30
151: again 30
152: captain 30
153: where 29
154: sort 29
155: good 29
156: among 29
157: hand 29
158: saw 28
159: whaling 28
160: side 28
161: For 28
162: every 28
163: toward 27
164: came 27
165: its 27
166: Nantucket 27
167: too 27
168: There 26
169: many 26
170: should 26
171: can 26
172: well 26
173: after 26
174: something 25
175: thou 25
176: What 25
177: New 25
178: myself 25
179: ( 25
180: place 25
181: ever 25
182: landlord 25
183: things 24
184: has 24
185: come 24
186: 1 24
187: without 24
188: back 24
189: land 24
190: whales 23
191: light 23
192: might 23
193: away 23
194: through 22
195: against 22
196: ) 22
197: just 22
198: look 22
199: tell 22
200: sleep 21
201: face 21
202: door 21
203: till 21
204: almost 21
205: soon 21
206: men 21
207: thing 20
208: looking 20
209: think 20
210: make 19
211: Captain 19
212: told 19
213: eyes 19
214: 11 19
215: 4 19
216: sir 19
217: going 19
218: even 19
219: found 19
220: enough 19
221: rather 19
222: looked 18
223: Now 18
224: fire 18
225: day 18
226: So 18
227: under 18
228: At 18
229: may 18
230: young 18
231: full 18
232: 5 18
233: get 17
234: : 17
235: three 17
236: moment 17
237: island 17
238: small 17
239: people 17
240: between 17
241: know 17
242: nothing 17
243: air 17
244: high 17
245: black 17
246: having 17
247: hands 16
248: harpoon 16
249: half 16
250: open 16
251: turned 16
252: perhaps 16
253: feet 16
254: They 16
255: seen 16
256: once 16
257: part 16
258: whether 16
259: ing 16
260: CHAPTER 16
261: whom 15
262: With 15
263: years 15
264: four 15
265: / 15
266: put 15
267: house 15
268: boat 15
269: large 15
270: voyage 15
271: went 15
272: she 15
273: town 15
274: e 15
275: while 15
276: hard 15
277: poor 15
278: heads 15
279: We 15
280: morning 15
281: far 15
282: arm 15
283: stood 15
284: another 15
285: savage 14
286: storm 14
287: fish 14
288: sure 14
289: dead 14
290: tomahawk 14
291: shipmates 14
292: Bildad 14
293: few 14
294: each 14
295: sat 14
296: ocean 14
297: began 14
298: hat 14
299: Bedford 14
300: true 14
301: lay 14
302: felt 14
303: This 14
304: cold 14
305: am 14
306: took 14
307: eye 13
308: together 13
309: strange 13
310: right 13
311: sail 13
312: fine 13
313: indeed 13
314: ships 13
315: craft 13
316: table 13
317: Hussey 13
318: deep 13
319: His 13
320: pulpit 13
321: feel 13
322: better 13
323: certain 13
324: streets 13
325: stand 13
326: As 13
327: fellow 13
328: No 13
329: sight 13
330: days 13
331: because 13
332: called 12
333: To 12
334: since 12
335: passage 12
336: OF 12
337: story 12
338: don 12
339: let 12
340: Peleg 12
341: sailors 12
342: give 12
343: why 12
344: wild 12
345: order 12
346: seeing 12
347: seas 12
348: near 12
349: best 12
350: Leviathan 12
351: along 12
352: living 12
353: whole 12
354: green 11
355: does 11
356: country 11
357: mind 11
358: times 11
359: boots 11
360: earth 11
361: mouth 11
362: Yes 11
363: business 11
364: rolled 11
365: set 11
366: whose 11
367: find 11
368: pipe 11
369: mine 11
370: bit 11
371: deck 11
372: always 11
373: heard 11
374: heart 11
375: That 10
376: chest 10
377: On 10
378: manner 10
379: however 10
380: strong 10
381: name 10
382: both 10
383: says 10
384: corner 10
385: got 10
386: also 10
387: itself 10
388: low 10
389: late 10
390: coming 10
391: cannibal 10
392: particular 10
393: Yojo 10
394: vessel 10
395: gone 10
396: sleeping 10
397: sun 10
398: quite 10
399: length 10
400: around 10
401: wide 10
402: placed 10
403: noble 10
404: sailor 10
405: lesson 10
406: How 10
407: forth 10
408: board 10
409: floor 10
410: Indian 10
411: dark 10
412: seem 10
413: Lord 10
414: cannot 10
415: second 10
416: next 10
417: INN 10
418: thus 10
419: either 9
420: clam 9
421: reason 9
422: soul 9
423: slowly 9
424: King 9
425: Mrs 9
426: bottom 9
427: Why 9
428: seems 9
429: life 9
430: goes 9
431: home 9
432: Pequod 9
433: known 9
434: All 9
435: shall 9
436: miles 9
437: white 9
438: mean 9
439: self 9
440: teeth 9
441: short 9
442: lamp 9
443: oil 9
444: done 9
445: within 9
446: try 9
447: coat 9
448: left 9
449: knew 9
450: besides 9
451: coast 9
452: bag 9
453: Christian 8
454: making 8
455: possible 8
456: matter 8
457: Not 8
458: cod 8
459: Sperm 8
460: thousand 8
